id,category,difficulty,question,candidate0,candidate1,candidate2,answer
1,Zinema eta ikuskizunak,1,"What's the name of the film based on Bernardo Atxaga's novel ""Obabakoak""?","""Obabakoak""","""Obaba""","""Obabako istorioak""",1
2,Geografia eta Historia,1,Where's Atxondo?,In Biscay,In Gipuzkoa,In Navarre,0
5,Zinema eta ikuskizunak,3,"How long, more or less, did the episodes of ""Bertan zoro"" last?",90 minutes,60 minutes,30 minutes,2
7,Zinema eta ikuskizunak,2,"Which film was a box office success for the ""Frontera Films Irun"" production company?","""Alquezar""","""Ama Lur""","""Pelotari""",1
8,Kirola eta aisialdia,1,Where was Julian Retegi born?,Areso,Eratsun,Eraso,1
15,Gizartea eta ohiturak,3,Which of the following is a Basque Government institution?,IKA,AEK,HABE,2
17,Gizartea eta ohiturak,1,How long does the Bilbao Aste Nagusia or Great Week last?,12 days,9 days,7 days,1
18,Geografia eta Historia,1,What or who was Banu Qasi?,A former king of Navarre,A powerful Muslim tribe,An important historian from the Northern Basque Country,1
21,Kultura eta artea,3,Who built the Gaztelu Berria or Château-Neuf in Bayonne?,The English,The French,The Spanish,0
23,Gizartea eta ohiturak,1,"Which Basque city is known as ""Botxo""?",Bilbao,Vitoria-Gasteiz,Donibane Garazi/St-Jean-Pied-de-Port,0
28,Euskara eta literatura,3,What is the line of business of the enterprise Eleka?,Language engineering,Bertsolarism,Research to find the origin of Basque,0
33,Zinema eta ikuskizunak,2,Which of these is not a silent Basque film?,"""El mayorazgo de Basterretxe""","""La madre muerta""","""Los apuros de Octavio""",1
35,Kultura eta artea,3,When did the Goenkale soap opera start?,In 1994,In 1993,In 1995,0
38,Kirola eta aisialdia,3,How many metres long does the square have to be in a txinga weight carrying contest?,26,28,25,1
39,Zientzia eta teknologia,3,The Deba railway was a branch of which main line?,The San Sebastian-Zumarraga line,The Durango-Zumarraga line,The Eibar-Zumarraga line,1
40,Kirola eta aisialdia,1,Where's Mount Mendaur located?,In Biscay,In Labourd,In Navarre,2
44,Euskara eta literatura,2,In what year did the Euskaltzaindia (Royal Academy of the Basque Language) establish the foundations for Standard Basque?,In 1968,In 1967,In 1965,0
45,Zientzia eta teknologia,3,Which of these mines was exploited by the Romans?,The mines of Miñagañe,The mines of Aralar,The mines of Arditurri,2
51,Euskara eta literatura,1,Which of the following authors creates children's literature?,Joxe Ignazio Gerriko,Agustin Kardaberaz,Iñaki Zubeldia,2
52,Zientzia eta teknologia,3,What was the narrow-gauge railway connecting the municipalities of Zumarraga and Zumaia called?,The Urola Train,The Zumarraga train,The Gipuzkoa train,0
53,Zinema eta ikuskizunak,2,"What kind of film is Javier Rebollo's ""Agur Txomin""?",A short film,A feature film,A documentary,0
55,Gizartea eta ohiturak,1,Who's Olentzero's partner?,Mari Domingi,Anbotoko Mari,Gabonetako Dama,0
69,Gizartea eta ohiturak,3,Who is responsible for protecting and guaranteeing the rights of the citizens in Basque Autonomous Community?,The Chief Security Officer,The Ararteko,The Ombudsman,1
